J,nj,Estimator,cluster_a,cluster_m,cluster_y,abs.value_mean_|Rel.Bias|,abs.value_min_|Rel.Bias|,abs.value_max_|Rel.Bias|,abs.value_mean_RMSE,abs.value_min_RMSE,abs.value_max_RMSE,A_fit,M_fit,Y_fit,A_mod,M_mod,Y_mod,estimator,abs.value_mean_|Bias|,abs.value_min_|Bias|,abs.value_max_|Bias|
20,50,multiply-robust,SL,SL,RE,0.01073040746943152,7.544173414443493e-4,0.032918262034895625,0.25741142548487084,0.21843290246364633,0.29589961021965555,aSL,mSL,yRE,aSL,mSL,yCluster,multi,0.015596128211281283,0.0012162975184576836,0.042027477508428904
20,50,multiply-robust,SL,SL,SL,0.10858068762710234,0.030590169270514313,0.17657514253772022,0.3240647095685353,0.2238063583053062,0.3970964192928411,aSL,mSL,ySL,aSL,mSL,ySL,multi,0.1642137045011637,0.04712120028583396,0.26693270263527347
100,10,multiply-robust,FE,FE,FE,0.01865924125307886,5.041974084532964e-4,0.06015273279684385,0.14045854506721933,0.12305162342382306,0.16497996431784226,aFE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.026718828650368676,7.799270668729017e-4,0.07663192748858101
100,10,multiply-robust,FE,FE,RE,0.01709547467447205,0.00290850972599066,0.04811928260191377,0.1396682719038521,0.12612470785888896,0.16141624703963142,aFE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.024675568491105433,0.004544391077110541,0.06131086503657377
100,10,multiply-robust,FE,FE,SL,0.03258011920992132,0.0013338109772485986,0.06070502927466547,0.1551346865290789,0.1330264693726409,0.17950658653427887,aFE,mFE,ySL,aCluster,mCluster,ySL,multi,0.05061700658592924,0.0017011779628438857,0.09374316875206205
100,10,multiply-robust,FE,RE,FE,0.016646095432683198,2.923655601425288e-4,0.051745708813229485,0.13845118954200694,0.12363592977704516,0.16306248312220126,aFE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.023901788391728088,4.52785313863665e-4,0.0659011901824566
100,10,multiply-robust,FE,RE,RE,0.01578348033875217,0.004986427532500173,0.04797649842695289,0.13907742630573497,0.12152926285825573,0.16199274083214144,aFE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.022654109777330043,0.007792062122566401,0.061143176082521615
100,10,multiply-robust,FE,RE,SL,0.03450961454342457,5.10934633492226e-4,0.05836447189504357,0.15603086145412506,0.1360612982651217,0.17131127518626071,aFE,mRE,ySL,aCluster,mCluster,ySL,multi,0.053665828255259104,6.496658656005986e-4,0.08988728181393779
100,10,multiply-robust,FE,SL,FE,0.014951581586365469,4.3501369593674757e-4,0.05685321585710242,0.1413164061887882,0.12673473575047722,0.16290329562200784,aFE,mSL,yFE,aCluster,mSL,yCluster,multi,0.021019616204212305,6.689101604104175e-4,0.07253441828049728
100,10,multiply-robust,FE,SL,RE,0.010043646487857884,3.324968896045366e-4,0.04126760271829889,0.13804242460011812,0.12720556148939027,0.14856858379008417,aFE,mSL,yRE,aCluster,mSL,yCluster,multi,0.014005370873329358,5.12565011636555e-4,0.05258962110118655
100,10,multiply-robust,FE,SL,SL,0.023591190718651248,3.2287920697217696e-4,0.05702484964905766,0.15898996024398634,0.1348283490239335,0.19760870197698185,aFE,mSL,ySL,aCluster,mSL,ySL,multi,0.03680343615571209,4.957821153864776e-4,0.09115783524362908
100,10,multiply-robust,RE,FE,FE,0.01882745151709563,4.326743316230771e-4,0.057506262098929145,0.1391287027564604,0.12571870592158624,0.15937242754444783,aRE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.027156454311518648,6.669294901893246e-4,0.07319669781172651
100,10,multiply-robust,RE,FE,RE,0.01710940315565441,0.0030485431624999683,0.04096310602522017,0.13611604864406623,0.12334710450256042,0.15223283849056393,aRE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.02495579933721719,0.004919228989644358,0.05213341340068336
100,10,multiply-robust,RE,FE,SL,0.05219007695310654,0.02119980057823571,0.07670044046945222,0.16520846790143984,0.13271048560796872,0.1915341009876715,aRE,mFE,ySL,aCluster,mCluster,ySL,multi,0.08051240091290053,0.02702135063269591,0.11821756079625678
100,10,multiply-robust,RE,RE,FE,0.016306456091394216,6.2718933322511e-5,0.05623725298628986,0.1379395421565528,0.11609703493561889,0.16074477688904565,aRE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.023170888545847045,9.675209910087478e-5,0.07163468630263431
100,10,multiply-robust,RE,RE,RE,0.01446764982395699,7.182840803881405e-4,0.041923332048210395,0.1346659582810443,0.11928745762022863,0.15054243415809768,aRE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.020976219355027213,0.0011583636104655147,0.05347030016967537
100,10,multiply-robust,RE,RE,SL,0.05588470683662822,0.02690826150726456,0.07175857030746535,0.1679055764013354,0.1353173514737085,0.19093033185091288,aRE,mRE,ySL,aCluster,mCluster,ySL,multi,0.08609680954622091,0.03425305733203425,0.1109945320192687
100,10,multiply-robust,RE,SL,FE,0.014642496516362437,2.412512413016822e-4,0.049028906592376416,0.1412964356479172,0.12182547410389,0.16706426919406497,aRE,mSL,yFE,aCluster,mSL,yCluster,multi,0.020701588403640264,3.774308266899804e-4,0.062434068592589896
100,10,multiply-robust,RE,SL,RE,0.009241141945167118,7.096140067857861e-4,0.03169086895963169,0.13644623119803903,0.11935041715326873,0.15313643764968782,aRE,mSL,yRE,aCluster,mSL,yCluster,multi,0.013289503995290466,0.0010967194707097267,0.04039996649915591
100,10,multiply-robust,RE,SL,SL,0.04920888118599367,0.00404617302887785,0.08242106231706582,0.16859368122169177,0.12893397628291545,0.20908642510463998,aRE,mSL,ySL,aCluster,mSL,ySL,multi,0.07523184161841075,0.006242082452148738,0.13184446864304825
100,10,multiply-robust,SL,FE,FE,0.018900914477116518,0.0012481869497604698,0.06534875397082247,0.1386994823677369,0.12225516534414206,0.1716852497013243,aSL,mFE,yFE,aSL,mCluster,yCluster,multi,0.027070356126267528,0.0019307392196313573,0.08335436861133225
100,10,multiply-robust,SL,FE,RE,0.02031753347033127,0.0013152892109904784,0.04057497789941679,0.13506667562198252,0.12073655337769817,0.15182820024299037,aSL,mFE,yRE,aSL,mCluster,yCluster,multi,0.03047726028807713,0.0021222673811376724,0.06259849326663912
