num_clust,clust_size,quadratic.A,quadratic.M,quadratic.Y,icc,Yfamily,x_z,cluster_a,cluster_m,cluster_y,Fit,effname,rbias.est_multi,rbias.est_reg,rbias.est_rmpw,bias.est_multi,bias.est_reg,bias.est_rmpw,multi_cover,MSE.est_multi,MSE.est_reg,MSE.est_rmpw,nreps,trueval,sqrtMSE.est_multi,sqrtMSE.est_reg,sqrtMSE.est_rmpw
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,RE,glm,"Y(0,gmjo(0))",0.04409852913018742,0.01270440514126261,-0.05575642919871867,0.05610317481340336,0.016176013461953943,-0.07098443055562662,0.43,0.053119554606645344,0.04986663214223613,0.04679490953772643,1000,1.2722232673061702,0.23047679841286703,0.22330046006943585,0.21630219484996618
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,RE,glm,"Y(1,gm1(0),gm2(0))",-0.0049766773027088715,-0.01918883395268191,-0.17055566047744672,-0.007635749414582672,-0.029458521643174383,-0.2618509209234514,0.515,0.050421992312298984,0.04834249283123852,0.13072579298148834,1000,1.5343067171396538,0.22454841863682537,0.2198622744664476,0.3615484209662357
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,RE,glm,"Y(1,gm1(1),gm2(0))",-0.00842769915770384,-0.0026757300273297416,-0.06177513240291273,-0.013150239008478665,-0.004176696765507633,-0.09645058710315901,0.479,0.050259262431848764,0.04826768089815686,0.0638299453475163,1000,1.5603593296822784,0.22418577660469177,0.21969707350907602,0.2525833205057597
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,RE,glm,"Y(1,gm1(1),gm2(1))",-0.01968102400703372,0.005334956218073426,0.049255528918079536,-0.03149039188890124,0.008541617496073628,0.078858584321491,0.421,0.05081454914268947,0.049103193399990294,0.05391621725489411,1000,1.6000382844737662,0.2254208267722605,0.22159201986307175,0.23217229255569166
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,RE,glm,"Y(1,gmjo(0))",-0.008348705110078814,-0.02274870521864877,-0.17239146066446268,-0.012856039268538514,-0.03505090090700551,-0.26563255486132586,0.519,0.05081261037847031,0.04870325194456168,0.13509680578758224,1000,1.5398842214487019,0.22541652640937912,0.220681292388588,0.3675466471171369
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,RE,glm,"Y(1,gmjo(1))",-0.026304305291570372,-0.001648582599667792,0.03816858571193711,-0.04238177097729138,-0.0026572126051989473,0.06153544472021626,0.415,0.051611100101412594,0.04903726652510019,0.05120524851872096,1000,1.611210427628107,0.22718076525404302,0.22144312982745504,0.22625293991468368
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,noncluster,glm,"IDE(,gmjo(0))",-0.16851681629056173,1.0075945076897002,-0.7270110375609325,-0.045110496129911436,0.26971931573648283,-0.19464812430569925,0.765,0.03869338312655441,0.12647027203457178,0.06588579551038724,1000,0.2676913623393559,0.19670633728112172,0.35558419718122547,0.2566529381516197
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,noncluster,glm,"IIE_M1(1,,gm2(0))",1.4664933308407522,4.234336942372984,6.350797098598633,0.038176423898648615,0.11031755244318137,0.16540033382029237,0.897,0.003910158171969437,0.017852235622200806,0.035491197733677274,1000,0.02603245653818403,0.0625312575594753,0.13359912027850177,0.18837230805988125
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,noncluster,glm,"IIE_M2(1,gm1(1),)",0.613111263132027,2.521498022021308,4.418607342895624,0.02431041895712584,0.10008938335107703,0.1753091714246501,0.842,0.0042010235595040975,0.016790442038647636,0.04229411818663364,1000,0.039650909091015756,0.0648153034360258,0.12951301833767806,0.20565483442476706
20,50,FALSE,FALSE,FALSE,0.2,gaussian,0,RE,noncluster,noncluster,glm,IIE_Mdep,-1.2132717089649097,-0.9999999999999999,-2.4168408850086807,-0.0068124608235228526,-0.005619034995484937,-0.01354150566340037,0.678,9.457967120079437e-5,3.157359815825355e-5,3.410992933941315e-4,1000,0.005614950693389887,0.009725208028664188,0.005619034995484937,0.018466345132693268
