J,nj,cluster_a,cluster_y,cluster_m,estimator,effname,abs.performance,abs.value_mean,abs.value_min,abs.value_max
20,10,FE,FE,FE,rmpw,"IIE_M1(1,,gm2(0))",sqrtMSE,0.06218515131867264,0.05595593789888626,0.07048502305504277
20,10,FE,FE,FE,rmpw,"IIE_M1(1,,gm2(0))",|Bias|,0.0029924959246124243,0.0011160312200305176,0.004279721598183755
20,10,FE,FE,FE,rmpw,"IIE_M1(1,,gm2(0))",|Rel.Bias|,0.11982273571045116,0.04690660433538407,0.17991329269938094
20,10,FE,FE,FE,rmpw,"IIE_M2(1,gm1(1),)",sqrtMSE,0.0781713536860977,0.07005759145254772,0.08558823921404099
20,10,FE,FE,FE,rmpw,"IIE_M2(1,gm1(1),)",|Bias|,0.009691039404887192,0.007655433850301956,0.01331146252329021
20,10,FE,FE,FE,rmpw,"IIE_M2(1,gm1(1),)",|Rel.Bias|,0.2583461216392424,0.21304533039689968,0.34366797240694347
20,10,FE,FE,FE,rmpw,IIE_Mdep,sqrtMSE,0.014164502700667964,0.011818517671783326,0.01610318849979958
20,10,FE,FE,FE,rmpw,IIE_Mdep,|Bias|,0.005678268499388777,0.0048868635566379805,0.006574901650267196
20,10,FE,FE,FE,rmpw,IIE_Mdep,|Rel.Bias|,0.9883925334391173,0.9804793055528923,1.0007152713380898
20,10,FE,FE,FE,rmpw,"IIE_Mjo(1,)",sqrtMSE,0.09571239881213646,0.08647413386760808,0.10785029717164561
20,10,FE,FE,FE,rmpw,"IIE_Mjo(1,)",|Bias|,0.012376811979663544,0.010134905327087962,0.016620153618053257
20,10,FE,FE,FE,rmpw,"IIE_Mjo(1,)",|Rel.Bias|,0.18120327158118682,0.1565968206821466,0.2329687215511285
20,10,FE,FE,FE,rmpw,"Y(0,gmjo(0))",sqrtMSE,0.3240641717521902,0.2711302436413164,0.37614011504177136
20,10,FE,FE,FE,rmpw,"Y(0,gmjo(0))",|Bias|,0.14481484264785105,0.0899479854154075,0.20403723821621042
20,10,FE,FE,FE,rmpw,"Y(0,gmjo(0))",|Rel.Bias|,0.11357877800238014,0.07055003839635991,0.16009011540120266
20,10,FE,FE,FE,rmpw,"Y(1,gm1(0),gm2(0))",sqrtMSE,0.35511335798334825,0.2951847219245734,0.4147929896210795
20,10,FE,FE,FE,rmpw,"Y(1,gm1(0),gm2(0))",|Bias|,0.1657514136778671,0.1026165004162305,0.2328429031446203
20,10,FE,FE,FE,rmpw,"Y(1,gm1(0),gm2(0))",|Rel.Bias|,0.10768361809214012,0.06675648403749136,0.1511961979945877
20,10,FE,FE,FE,rmpw,"Y(1,gm1(1),gm2(0))",sqrtMSE,0.3550984601781535,0.2964297193324763,0.41505870658484734
20,10,FE,FE,FE,rmpw,"Y(1,gm1(1),gm2(0))",|Bias|,0.1687439096024796,0.10592452074096176,0.23712262474280418
20,10,FE,FE,FE,rmpw,"Y(1,gm1(1),gm2(0))",|Rel.Bias|,0.10790113223645452,0.06776040708428614,0.15163392807414022
20,10,FE,FE,FE,rmpw,"Y(1,gm1(1),gm2(1))",sqrtMSE,0.3418413073702973,0.2854712764189265,0.40127104241664324
20,10,FE,FE,FE,rmpw,"Y(1,gm1(1),gm2(1))",|Bias|,0.15905287019759234,0.09680575838639556,0.22844412585141363
20,10,FE,FE,FE,rmpw,"Y(1,gm1(1),gm2(1))",|Rel.Bias|,0.0993647910242914,0.06039390638337016,0.1428747333076187
20,10,FE,FE,FE,rmpw,"Y(1,gmjo(0))",sqrtMSE,0.353569598795503,0.2942750265384838,0.4131656201801614
20,10,FE,FE,FE,rmpw,"Y(1,gmjo(0))",|Bias|,0.16331285470773113,0.10092898086538339,0.22950002671460942
20,10,FE,FE,FE,rmpw,"Y(1,gmjo(0))",|Rel.Bias|,0.10572985125494197,0.06541995170851121,0.14851743924458458
20,10,FE,FE,FE,rmpw,"Y(1,gmjo(1))",sqrtMSE,0.33767296315316225,0.28278295121627656,0.3956814495178019
20,10,FE,FE,FE,rmpw,"Y(1,gmjo(1))",|Bias|,0.1509360427280676,0.08960305807877976,0.21936512138752143
20,10,FE,FE,FE,rmpw,"Y(1,gmjo(1))",|Rel.Bias|,0.09364793342944508,0.055511237904766975,0.1362537319339538
20,10,FE,FE,RE,multi,"IDE(,gmjo(0))",sqrtMSE,0.33699738931900614,0.3142849538116883,0.3558079040818513
20,10,FE,FE,RE,multi,"IDE(,gmjo(0))",|Bias|,0.06637000306594229,0.05622003391542604,0.07982850208858014
20,10,FE,FE,RE,multi,"IDE(,gmjo(0))",|Rel.Bias|,0.24636874081012267,0.21005762802317668,0.2949184356744117
20,10,FE,FE,RE,multi,"IIE_M1(1,,gm2(0))",sqrtMSE,0.04897659971727141,0.048342936252533455,0.04955099572513425
20,10,FE,FE,RE,multi,"IIE_M1(1,,gm2(0))",|Bias|,0.009967324646467948,0.0070522391627753705,0.012671248179507183
20,10,FE,FE,RE,multi,"IIE_M1(1,,gm2(0))",|Rel.Bias|,0.4030908766142362,0.27124585329996265,0.532402830378536
20,10,FE,FE,RE,multi,"IIE_M2(1,gm1(1),)",sqrtMSE,0.0583367897365365,0.05461020666270527,0.06296861750730239
20,10,FE,FE,RE,multi,"IIE_M2(1,gm1(1),)",|Bias|,0.02283644041249741,0.018778923413510146,0.029572464299378372
20,10,FE,FE,RE,multi,"IIE_M2(1,gm1(1),)",|Rel.Bias|,0.6081830085627585,0.534240973652019,0.7450632814523032
20,10,FE,FE,RE,multi,IIE_Mdep,sqrtMSE,0.010246503491282043,0.009999836715100333,0.010711039770105703
20,10,FE,FE,RE,multi,IIE_Mdep,|Bias|,0.005823754135544928,0.004776111516508321,0.006933466228736939
20,10,FE,FE,RE,multi,IIE_Mdep,|Rel.Bias|,1.0099259931779585,0.9603424234718966,1.0492061354947957
20,10,FE,FE,RE,multi,"IIE_Mjo(1,)",sqrtMSE,0.08240158336107122,0.07919339098327209,0.08596752258835315
20,10,FE,FE,RE,multi,"IIE_Mjo(1,)",|Bias|,0.03862751919451029,0.03460969814178844,0.045472939611623776
20,10,FE,FE,RE,multi,"IIE_Mjo(1,)",|Rel.Bias|,0.5677819495527112,0.49535223291965963,0.6371892203495995
20,10,FE,FE,RE,multi,"Y(0,gmjo(0))",sqrtMSE,0.3151501895437495,0.2893249041296875,0.3408416781150655
20,10,FE,FE,RE,multi,"Y(0,gmjo(0))",|Bias|,0.06911083284068227,0.058242259416766494,0.07886575358865183
20,10,FE,FE,RE,multi,"Y(0,gmjo(0))",|Rel.Bias|,0.0542264328057848,0.045659513763204006,0.06180880942460008
20,10,FE,FE,RE,multi,"Y(1,gm1(0),gm2(0))",sqrtMSE,0.30991063618857084,0.27381227052400803,0.3389039165060215
20,10,FE,FE,RE,multi,"Y(1,gm1(0),gm2(0))",|Bias|,0.009210181137653125,6.446099481224822e-4,0.017276740868669153
20,10,FE,FE,RE,multi,"Y(1,gm1(0),gm2(0))",|Rel.Bias|,0.005988287281799916,4.191622292924294e-4,0.01120779530172921
20,10,FE,FE,RE,multi,"Y(1,gm1(1),gm2(0))",sqrtMSE,0.3098827538173106,0.27618347914554014,0.33925184515130336
