num_clust,clust_size,quadratic.A,quadratic.M,quadratic.Y,icc,Yfamily,x_z,cluster_a,cluster_m,cluster_y,Fit,effname,rbias.est_multi,rbias.est_reg,rbias.est_rmpw,bias.est_multi,bias.est_reg,bias.est_rmpw,multi_cover,MSE.est_multi,MSE.est_reg,MSE.est_rmpw,nreps,trueval,sqrtMSE.est_multi,sqrtMSE.est_reg,sqrtMSE.est_rmpw
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"IDE(,gmjo(0))",-0.22205755813766684,-0.15473512289082564,0.9116009048174302,-0.05948771594315269,-0.041452491480842214,0.24421170859530214,0.609,0.010884557974416181,0.008505249994366812,0.06549656914037454,1000,0.26789322751298866,0.10432908498791783,0.09222391226990326,0.25592297501469957
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"IIE_M1(1,,gm2(0))",-0.45621686023024494,-0.21699929937435192,0.7436850758162512,-0.011871103408395344,-0.00564648382596425,0.01935124106075239,0.637,2.485729167047513e-4,1.1659185420524725e-4,6.834061295644874e-4,1000,0.02602074680537716,0.015766195378237303,0.010797770797958588,0.026142037593968978
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"IIE_M2(1,gm1(1),)",-0.6558805773284271,-0.46143918149014357,0.09716336259084446,-0.025445171406841268,-0.017901733139705132,0.003769494784644464,0.284,7.573295805431721e-4,4.2814282538733656e-4,4.252235335034356e-4,1000,0.03879543362983258,0.027519621736920224,0.02069161244048749,0.020620948899200436
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,IIE_Mdep,-0.9849027449663631,-1.0000000000000002,-1.1625056367071178,-0.006497491003231981,-0.006597088937399488,-0.007669153075585073,0.019,4.365228031380019e-5,4.3521582447958705e-5,6.310828759295908e-5,1000,0.006597088937399486,0.006606987234269504,0.006597088937399488,0.007944072481602813
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"IIE_Mjo(1,)",-0.6135241559921284,-0.42212471390689743,0.21636851114028802,-0.04381376581846859,-0.030145305903068867,0.015451582769811787,0.156,0.002142209833743262,0.0011318268991999006,8.618051178012106e-4,1000,0.07141326937260922,0.04628401272300471,0.033642635140546,0.029356517467186236
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"Y(0,gmjo(0))",0.04911939716498318,0.03694158611108671,-0.10100146327253177,0.0628064819664291,0.047235332593847185,-0.12914544859543756,0.443,0.017558928576618765,0.01534082589749497,0.02850625988861775,1000,1.2786492830006335,0.13251010745078567,0.12385808773550062,0.16883796933337522
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"Y(1,gm1(0),gm2(0))",0.006049588188802039,0.007622326239127648,0.07497832604229698,0.009319889871266876,0.011742822634279998,0.11551029915385465,0.529,0.01347412471410467,0.01299033736914027,0.02567266364102865,1000,1.5405825289923472,0.11607809747796813,0.1139751611937455,0.16022691297353467
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"Y(1,gm1(1),gm2(0))",-0.0016285000654229027,0.003891437546759622,0.08608531738575284,-0.0025512135371283285,0.006096338808315884,0.13486154021460717,0.528,0.013640459953326673,0.013156353584659773,0.030859700027817915,1000,1.5666032757977242,0.11679237968860243,0.11470114901194221,0.1756692916471684
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"Y(1,gm1(1),gm2(1))",-0.017438898374318747,-0.007353559126504335,0.08635302506794951,-0.027996384943969638,-0.011805394331389291,0.1386310349992516,0.494,0.014477485156145274,0.013353958522594044,0.03176641038078376,1000,1.6053987094275568,0.12032242166838762,0.11555932901585247,0.17823133950229897
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"Y(1,gmjo(0))",0.002145926155094357,0.0037392060507179287,0.07440226131362532,0.0033187660232764696,0.00578284111300503,0.11506625999986464,0.533,0.013392152114845906,0.012885884737058373,0.025548351654912007,1000,1.5465425105136221,0.11572446636232939,0.11351601092823149,0.1598385174321634
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,RE,glm,"Y(1,gmjo(1))",-0.025028496018623964,-0.015057559108183394,0.08066836213462762,-0.04049499979519217,-0.024362464790063893,0.13051784276967637,0.486,0.015326912846299797,0.013808120877921548,0.029543410576246334,1000,1.6179557798862314,0.12380190970376749,0.1175079609129592,0.1718819669896942
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,noncluster,glm,"IDE(,gmjo(0))",0.3173091744462327,1.0904481418673277,0.9103331423910959,0.08502162745774361,0.2921808858556734,0.24391984703842126,0.622,0.027334796149068225,0.11347833229537176,0.06569186608304328,1000,0.26794569557001674,0.16533238082441148,0.33686545132347984,0.2563042451522083
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,noncluster,glm,"IIE_M1(1,,gm2(0))",-0.4911964444215814,0.9748025107645651,0.697000893450412,-0.012787932662613731,0.0253782554995554,0.018145897822451466,0.811,4.4384859172175227e-4,0.0010337876376532039,6.178373522571868e-4,1000,0.02603425331726989,0.021067714439913798,0.03215256813464834,0.024856334248178808
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,noncluster,glm,"IIE_M2(1,gm1(1),)",-0.6324130556853851,0.46693924398722403,0.13747991285935934,-0.024516135074280916,0.018101374527549854,0.005329548597012486,0.589,9.543075205592972e-4,9.334776791955728e-4,4.468583525434895e-4,1000,0.038766016694122905,0.030891868194709383,0.03055286695541963,0.021139024399046646
100,20,FALSE,FALSE,FALSE,0.4,gaussian,0,RE,RE,noncluster,glm,IIE_Mdep,-0.8934841443729369,-0.9999999999999999,-1.153732862918278,-0.005892463067118945,-0.006594927402158188,-0.007608784472430168,0.146,3.829171640575989e-5,4.349306743973695e-5,6.204575155769007e-5,1000,0.006594927402158189,0.006188030090889983,0.006594927402158188,0.007876912565065711
